student,unit_title,assessment,score,score_level,user_unit
34,Unicorn Traits and Reproduction,pre,20.632275436209213,1,34 Unicorn Traits and Reproduction
35,Unicorn Traits and Reproduction,pre,47.264433186261954,2,35 Unicorn Traits and Reproduction
36,Unicorn Traits and Reproduction,pre,35.68889825531889,1,36 Unicorn Traits and Reproduction
37,Unicorn Traits and Reproduction,pre,31.17578531515216,1,37 Unicorn Traits and Reproduction
38,Unicorn Traits and Reproduction,pre,20.716949965361007,1,38 Unicorn Traits and Reproduction
39,Unicorn Traits and Reproduction,pre,35.19143790213245,1,39 Unicorn Traits and Reproduction
40,Unicorn Traits and Reproduction,pre,25.246259140096058,1,40 Unicorn Traits and Reproduction
41,Unicorn Traits and Reproduction,pre,37.74218022605997,1,41 Unicorn Traits and Reproduction
42,Unicorn Traits and Reproduction,pre,21.896590860657238,1,42 Unicorn Traits and Reproduction
43,Unicorn Traits and Reproduction,pre,40.078946066778876,2,43 Unicorn Traits and Reproduction
44,Unicorn Traits and Reproduction,pre,35.816489468564995,1,44 Unicorn Traits and Reproduction
45,Unicorn Traits and Reproduction,pre,39.65778461763453,1,45 Unicorn Traits and Reproduction
46,Unicorn Traits and Reproduction,pre,20.79491936313052,1,46 Unicorn Traits and Reproduction
47,Unicorn Traits and Reproduction,pre,22.96173505885385,1,47 Unicorn Traits and Reproduction
49,Unicorn Traits and Reproduction,pre,38.562498887166875,1,49 Unicorn Traits and Reproduction
50,Unicorn Traits and Reproduction,pre,32.743326731630766,1,50 Unicorn Traits and Reproduction
51,Unicorn Traits and Reproduction,pre,36.2434349574224,1,51 Unicorn Traits and Reproduction
52,Unicorn Traits and Reproduction,pre,41.81427311467823,2,52 Unicorn Traits and Reproduction
53,Unicorn Traits and Reproduction,pre,28.086307906072832,1,53 Unicorn Traits and Reproduction
54,Unicorn Traits and Reproduction,pre,55.812385334839185,2,54 Unicorn Traits and Reproduction
55,Unicorn Traits and Reproduction,pre,33.35342786511734,1,55 Unicorn Traits and Reproduction
56,Unicorn Traits and Reproduction,pre,42.35032794924705,2,56 Unicorn Traits and Reproduction
57,Unicorn Traits and Reproduction,pre,23.832146200245855,1,57 Unicorn Traits and Reproduction
58,Unicorn Traits and Reproduction,pre,43.28520727989126,2,58 Unicorn Traits and Reproduction
59,Unicorn Traits and Reproduction,pre,17.158092619254155,1,59 Unicorn Traits and Reproduction
60,Unicorn Traits and Reproduction,pre,23.03108408061391,1,60 Unicorn Traits and Reproduction
61,Unicorn Traits and Reproduction,pre,3.839874125502689,1,61 Unicorn Traits and Reproduction
62,Unicorn Traits and Reproduction,pre,41.59167622279503,2,62 Unicorn Traits and Reproduction
63,Unicorn Traits and Reproduction,pre,33.955234469656595,1,63 Unicorn Traits and Reproduction
64,Unicorn Traits and Reproduction,pre,39.22757124001918,1,64 Unicorn Traits and Reproduction
65,Unicorn Traits and Reproduction,pre,42.81811963897343,2,65 Unicorn Traits and Reproduction
66,Unicorn Traits and Reproduction,pre,33.86552865698136,1,66 Unicorn Traits and Reproduction
67,Unicorn Traits and Reproduction,pre,39.11562830237288,1,67 Unicorn Traits and Reproduction
68,Unicorn Traits and Reproduction,pre,44.34000493282774,2,68 Unicorn Traits and Reproduction
69,Unicorn Traits and Reproduction,pre,23.116499636027317,1,69 Unicorn Traits and Reproduction
70,Unicorn Traits and Reproduction,pre,31.46881388540867,1,70 Unicorn Traits and Reproduction
71,Unicorn Traits and Reproduction,pre,36.28182902174899,1,71 Unicorn Traits and Reproduction
72,Unicorn Traits and Reproduction,pre,26.364780755436097,1,72 Unicorn Traits and Reproduction
73,Unicorn Traits and Reproduction,pre,21.716080912452146,1,73 Unicorn Traits and Reproduction
75,Unicorn Traits and Reproduction,pre,19.26167075773936,1,75 Unicorn Traits and Reproduction
76,Unicorn Traits and Reproduction,pre,18.178613682252845,1,76 Unicorn Traits and Reproduction
77,Unicorn Traits and Reproduction,pre,26.087489336691874,1,77 Unicorn Traits and Reproduction
78,Unicorn Traits and Reproduction,pre,29.759067561429887,1,78 Unicorn Traits and Reproduction
79,Unicorn Traits and Reproduction,pre,43.47270874345398,2,79 Unicorn Traits and Reproduction
80,Unicorn Traits and Reproduction,pre,35.25688651937828,1,80 Unicorn Traits and Reproduction
81,Unicorn Traits and Reproduction,pre,31.445214783882257,1,81 Unicorn Traits and Reproduction
82,Unicorn Traits and Reproduction,pre,39.958573567746775,1,82 Unicorn Traits and Reproduction
83,Unicorn Traits and Reproduction,pre,37.87436227544317,1,83 Unicorn Traits and Reproduction
84,Unicorn Traits and Reproduction,pre,26.37201858473025,1,84 Unicorn Traits and Reproduction
86,Unicorn Traits and Reproduction,pre,40.53577341302111,2,86 Unicorn Traits and Reproduction
87,Unicorn Traits and Reproduction,pre,31.631887245371384,1,87 Unicorn Traits and Reproduction
88,Unicorn Traits and Reproduction,pre,20.23152244426585,1,88 Unicorn Traits and Reproduction
89,Unicorn Traits and Reproduction,pre,20.712648578787597,1,89 Unicorn Traits and Reproduction
90,Unicorn Traits and Reproduction,pre,39.98153134074383,1,90 Unicorn Traits and Reproduction
91,Unicorn Traits and Reproduction,pre,47.587239897998614,2,91 Unicorn Traits and Reproduction
92,Unicorn Traits and Reproduction,pre,22.83935207734433,1,92 Unicorn Traits and Reproduction
93,Unicorn Traits and Reproduction,pre,12.663883034178014,1,93 Unicorn Traits and Reproduction
94,Unicorn Traits and Reproduction,pre,35.90783402198026,1,94 Unicorn Traits and Reproduction
95,Unicorn Traits and Reproduction,pre,27.507505336063815,1,95 Unicorn Traits and Reproduction
96,Unicorn Traits and Reproduction,pre,34.29712637425949,1,96 Unicorn Traits and Reproduction
97,Unicorn Traits and Reproduction,pre,61.94008222821716,3,97 Unicorn Traits and Reproduction
98,Unicorn Traits and Reproduction,pre,31.907120601665163,1,98 Unicorn Traits and Reproduction
99,Unicorn Traits and Reproduction,pre,33.21721545227296,1,99 Unicorn Traits and Reproduction
100,Unicorn Traits and Reproduction,pre,40.66289745539034,2,100 Unicorn Traits and Reproduction
101,Unicorn Traits and Reproduction,pre,39.438013607921725,1,101 Unicorn Traits and Reproduction
102,Unicorn Traits and Reproduction,pre,33.23630314922063,1,102 Unicorn Traits and Reproduction
103,Unicorn Traits and Reproduction,pre,39.78909851825179,1,103 Unicorn Traits and Reproduction
104,Unicorn Traits and Reproduction,pre,25.88675681214122,1,104 Unicorn Traits and Reproduction
105,Unicorn Traits and Reproduction,pre,36.84243426943529,1,105 Unicorn Traits and Reproduction
106,Unicorn Traits and Reproduction,pre,33.86722025464588,1,106 Unicorn Traits and Reproduction
107,Unicorn Traits and Reproduction,pre,35.298338969950294,1,107 Unicorn Traits and Reproduction
108,Unicorn Traits and Reproduction,pre,38.16364007071139,1,108 Unicorn Traits and Reproduction
109,Unicorn Traits and Reproduction,pre,47.04953273329077,2,109 Unicorn Traits and Reproduction
110,Unicorn Traits and Reproduction,pre,24.52489512755143,1,110 Unicorn Traits and Reproduction
111,Unicorn Traits and Reproduction,pre,42.0801676193141,2,111 Unicorn Traits and Reproduction
112,Unicorn Traits and Reproduction,pre,16.08531773957187,1,112 Unicorn Traits and Reproduction
113,Unicorn Traits and Reproduction,pre,37.29409670305043,1,113 Unicorn Traits and Reproduction
115,Unicorn Traits and Reproduction,pre,28.516476853569262,1,115 Unicorn Traits and Reproduction
116,Unicorn Traits and Reproduction,pre,31.800463398307606,1,116 Unicorn Traits and Reproduction
118,Unicorn Traits and Reproduction,pre,27.753339958195866,1,118 Unicorn Traits and Reproduction
119,Unicorn Traits and Reproduction,pre,26.563903357862657,1,119 Unicorn Traits and Reproduction
120,Unicorn Traits and Reproduction,pre,19.58868357678782,1,120 Unicorn Traits and Reproduction
121,Unicorn Traits and Reproduction,pre,28.336718235819912,1,121 Unicorn Traits and Reproduction
122,Unicorn Traits and Reproduction,pre,21.935280469714744,1,122 Unicorn Traits and Reproduction
124,Unicorn Traits and Reproduction,pre,36.20206092421999,1,124 Unicorn Traits and Reproduction
125,Unicorn Traits and Reproduction,pre,21.697618094682053,1,125 Unicorn Traits and Reproduction
126,Unicorn Traits and Reproduction,pre,26.446269302655438,1,126 Unicorn Traits and Reproduction
127,Unicorn Traits and Reproduction,pre,34.81301175707196,1,127 Unicorn Traits and Reproduction
128,Unicorn Traits and Reproduction,pre,48.86320225792915,2,128 Unicorn Traits and Reproduction
130,Unicorn Traits and Reproduction,pre,42.28925646701808,2,130 Unicorn Traits and Reproduction
131,Unicorn Traits and Reproduction,pre,45.00072948679603,2,131 Unicorn Traits and Reproduction
132,Unicorn Traits and Reproduction,pre,22.862387238176193,1,132 Unicorn Traits and Reproduction
133,Unicorn Traits and Reproduction,pre,28.16843500606353,1,133 Unicorn Traits and Reproduction
134,Unicorn Traits and Reproduction,pre,28.190215450738236,1,134 Unicorn Traits and Reproduction
135,Unicorn Traits and Reproduction,pre,4.084375168613029,1,135 Unicorn Traits and Reproduction
136,Unicorn Traits and Reproduction,pre,32.499961723114126,1,136 Unicorn Traits and Reproduction
137,Unicorn Traits and Reproduction,pre,31.01394342204115,1,137 Unicorn Traits and Reproduction
138,Unicorn Traits and Reproduction,pre,41.34644700530493,2,138 Unicorn Traits and Reproduction
139,Unicorn Traits and Reproduction,pre,13.677867556128913,1,139 Unicorn Traits and Reproduction
140,Unicorn Traits and Reproduction,pre,45.360994119192995,2,140 Unicorn Traits and Reproduction
142,Unicorn Traits and Reproduction,pre,25.858908944943366,1,142 Unicorn Traits and Reproduction
143,Unicorn Traits and Reproduction,pre,40.27935705789089,2,143 Unicorn Traits and Reproduction
144,Unicorn Traits and Reproduction,pre,48.05157913292478,2,144 Unicorn Traits and Reproduction
145,Unicorn Traits and Reproduction,pre,17.534723106344096,1,145 Unicorn Traits and Reproduction
146,Unicorn Traits and Reproduction,pre,0.3665361494009858,1,146 Unicorn Traits and Reproduction
147,Unicorn Traits and Reproduction,pre,34.000769800592685,1,147 Unicorn Traits and Reproduction
148,Unicorn Traits and Reproduction,pre,20.927868163173976,1,148 Unicorn Traits and Reproduction
149,Unicorn Traits and Reproduction,pre,41.374072095361576,2,149 Unicorn Traits and Reproduction
150,Unicorn Traits and Reproduction,pre,30.86551219337315,1,150 Unicorn Traits and Reproduction
151,Unicorn Traits and Reproduction,pre,33.20846258329861,1,151 Unicorn Traits and Reproduction
152,Unicorn Traits and Reproduction,pre,31.834050698218448,1,152 Unicorn Traits and Reproduction
153,Unicorn Traits and Reproduction,pre,42.49065619130427,2,153 Unicorn Traits and Reproduction
154,Unicorn Traits and Reproduction,pre,38.35704945955554,1,154 Unicorn Traits and Reproduction
155,Unicorn Traits and Reproduction,pre,42.57144631403183,2,155 Unicorn Traits and Reproduction
156,Unicorn Traits and Reproduction,pre,24.43362858924082,1,156 Unicorn Traits and Reproduction
157,Unicorn Traits and Reproduction,pre,15.815799332523028,1,157 Unicorn Traits and Reproduction
158,Unicorn Traits and Reproduction,pre,13.52047899723686,1,158 Unicorn Traits and Reproduction
159,Unicorn Traits and Reproduction,pre,39.43928975312075,1,159 Unicorn Traits and Reproduction
160,Unicorn Traits and Reproduction,pre,48.721945013024694,2,160 Unicorn Traits and Reproduction
161,Unicorn Traits and Reproduction,pre,31.61128397864064,1,161 Unicorn Traits and Reproduction
162,Unicorn Traits and Reproduction,pre,46.07898586359483,2,162 Unicorn Traits and Reproduction
163,Unicorn Traits and Reproduction,pre,26.040473230001552,1,163 Unicorn Traits and Reproduction
164,Unicorn Traits and Reproduction,pre,26.976364776760448,1,164 Unicorn Traits and Reproduction
165,Unicorn Traits and Reproduction,pre,8.690378343324227,1,165 Unicorn Traits and Reproduction
166,Unicorn Traits and Reproduction,pre,35.64043045332651,1,166 Unicorn Traits and Reproduction
167,Unicorn Traits and Reproduction,pre,38.60841556885285,1,167 Unicorn Traits and Reproduction
168,Unicorn Traits and Reproduction,pre,42.04320263841368,2,168 Unicorn Traits and Reproduction
169,Unicorn Traits and Reproduction,pre,31.418169790753034,1,169 Unicorn Traits and Reproduction
171,Unicorn Traits and Reproduction,pre,26.20752204367153,1,171 Unicorn Traits and Reproduction
172,Unicorn Traits and Reproduction,pre,30.11158934333787,1,172 Unicorn Traits and Reproduction
173,Unicorn Traits and Reproduction,pre,41.67479809431636,2,173 Unicorn Traits and Reproduction
174,Unicorn Traits and Reproduction,pre,22.387221341638647,1,174 Unicorn Traits and Reproduction
177,Unicorn Traits and Reproduction,pre,35.067930769103654,1,177 Unicorn Traits and Reproduction
178,Unicorn Traits and Reproduction,pre,36.11041552515901,1,178 Unicorn Traits and Reproduction
179,Unicorn Traits and Reproduction,pre,30.880425960881304,1,179 Unicorn Traits and Reproduction
180,Unicorn Traits and Reproduction,pre,36.04752120752143,1,180 Unicorn Traits and Reproduction
181,Unicorn Traits and Reproduction,pre,34.211150275625215,1,181 Unicorn Traits and Reproduction
182,Unicorn Traits and Reproduction,pre,37.04159277296457,1,182 Unicorn Traits and Reproduction
183,Unicorn Traits and Reproduction,pre,28.94747842362394,1,183 Unicorn Traits and Reproduction
184,Unicorn Traits and Reproduction,pre,23.692587004263654,1,184 Unicorn Traits and Reproduction
185,Unicorn Traits and Reproduction,pre,33.20411519097749,1,185 Unicorn Traits and Reproduction
186,Unicorn Traits and Reproduction,pre,47.99898652121434,2,186 Unicorn Traits and Reproduction
187,Unicorn Traits and Reproduction,pre,32.62681044445204,1,187 Unicorn Traits and Reproduction
188,Unicorn Traits and Reproduction,pre,24.5659263619259,1,188 Unicorn Traits and Reproduction
189,Unicorn Traits and Reproduction,pre,39.16742589200459,1,189 Unicorn Traits and Reproduction
190,Unicorn Traits and Reproduction,pre,32.990732675029456,1,190 Unicorn Traits and Reproduction
191,Unicorn Traits and Reproduction,pre,39.3641007458119,1,191 Unicorn Traits and Reproduction
192,Unicorn Traits and Reproduction,pre,35.1133511045051,1,192 Unicorn Traits and Reproduction
193,Unicorn Traits and Reproduction,pre,43.641371828872316,2,193 Unicorn Traits and Reproduction
194,Unicorn Traits and Reproduction,pre,40.87224896924524,2,194 Unicorn Traits and Reproduction
195,Unicorn Traits and Reproduction,pre,36.122671480743634,1,195 Unicorn Traits and Reproduction
196,Unicorn Traits and Reproduction,pre,45.719433978699435,2,196 Unicorn Traits and Reproduction
198,Unicorn Traits and Reproduction,pre,26.094204846332453,1,198 Unicorn Traits and Reproduction
199,Unicorn Traits and Reproduction,pre,8.714613478655387,1,199 Unicorn Traits and Reproduction
200,Unicorn Traits and Reproduction,pre,49.614563735020496,2,200 Unicorn Traits and Reproduction
201,Unicorn Traits and Reproduction,pre,54.62919572851542,2,201 Unicorn Traits and Reproduction
202,Unicorn Traits and Reproduction,pre,32.186261890516164,1,202 Unicorn Traits and Reproduction
203,Unicorn Traits and Reproduction,pre,28.307924981016935,1,203 Unicorn Traits and Reproduction
204,Unicorn Traits and Reproduction,pre,52.7619277649968,2,204 Unicorn Traits and Reproduction
205,Unicorn Traits and Reproduction,pre,36.73460393589212,1,205 Unicorn Traits and Reproduction
206,Unicorn Traits and Reproduction,pre,24.088427409310327,1,206 Unicorn Traits and Reproduction
208,Unicorn Traits and Reproduction,pre,41.497011148564454,2,208 Unicorn Traits and Reproduction
209,Unicorn Traits and Reproduction,pre,34.3255517526398,1,209 Unicorn Traits and Reproduction
210,Unicorn Traits and Reproduction,pre,15.940916927924203,1,210 Unicorn Traits and Reproduction
211,Unicorn Traits and Reproduction,pre,37.20655194900266,1,211 Unicorn Traits and Reproduction
212,Unicorn Traits and Reproduction,pre,24.503483872935934,1,212 Unicorn Traits and Reproduction
213,Unicorn Traits and Reproduction,pre,42.59292605944074,2,213 Unicorn Traits and Reproduction
214,Unicorn Traits and Reproduction,pre,57.883834333097894,2,214 Unicorn Traits and Reproduction
215,Unicorn Traits and Reproduction,pre,7.614895347583364,1,215 Unicorn Traits and Reproduction
216,Unicorn Traits and Reproduction,pre,39.294734049528095,1,216 Unicorn Traits and Reproduction
217,Unicorn Traits and Reproduction,pre,37.05386833480678,1,217 Unicorn Traits and Reproduction
218,Unicorn Traits and Reproduction,pre,26.68518175375725,1,218 Unicorn Traits and Reproduction
219,Unicorn Traits and Reproduction,pre,39.71783190930128,1,219 Unicorn Traits and Reproduction
220,Unicorn Traits and Reproduction,pre,36.42232662907929,1,220 Unicorn Traits and Reproduction
221,Unicorn Traits and Reproduction,pre,26.823441304756344,1,221 Unicorn Traits and Reproduction
222,Unicorn Traits and Reproduction,pre,24.31429197424749,1,222 Unicorn Traits and Reproduction
223,Unicorn Traits and Reproduction,pre,19.159525836176744,1,223 Unicorn Traits and Reproduction
224,Unicorn Traits and Reproduction,pre,30.257186736682296,1,224 Unicorn Traits and Reproduction
225,Unicorn Traits and Reproduction,pre,35.623176229995664,1,225 Unicorn Traits and Reproduction
226,Unicorn Traits and Reproduction,pre,12.903538005637568,1,226 Unicorn Traits and Reproduction
227,Unicorn Traits and Reproduction,pre,31.745052951466512,1,227 Unicorn Traits and Reproduction
228,Unicorn Traits and Reproduction,pre,40.22206869765905,2,228 Unicorn Traits and Reproduction
229,Unicorn Traits and Reproduction,pre,6.102608252668361,1,229 Unicorn Traits and Reproduction
230,Unicorn Traits and Reproduction,pre,38.58172214875374,1,230 Unicorn Traits and Reproduction
231,Unicorn Traits and Reproduction,pre,37.66526671110729,1,231 Unicorn Traits and Reproduction
232,Unicorn Traits and Reproduction,pre,54.30606841126753,2,232 Unicorn Traits and Reproduction
234,Unicorn Traits and Reproduction,pre,38.30288318523961,1,234 Unicorn Traits and Reproduction
235,Unicorn Traits and Reproduction,pre,23.780175716250596,1,235 Unicorn Traits and Reproduction
236,Unicorn Traits and Reproduction,pre,39.70202785265198,1,236 Unicorn Traits and Reproduction
237,Unicorn Traits and Reproduction,pre,34.61018594704672,1,237 Unicorn Traits and Reproduction
238,Unicorn Traits and Reproduction,pre,10.578062983531023,1,238 Unicorn Traits and Reproduction
239,Unicorn Traits and Reproduction,pre,17.414650891532617,1,239 Unicorn Traits and Reproduction
240,Unicorn Traits and Reproduction,pre,42.380314273163634,2,240 Unicorn Traits and Reproduction
241,Unicorn Traits and Reproduction,pre,42.973046956927845,2,241 Unicorn Traits and Reproduction
242,Unicorn Traits and Reproduction,pre,32.447508437494726,1,242 Unicorn Traits and Reproduction
243,Unicorn Traits and Reproduction,pre,39.511720216323816,1,243 Unicorn Traits and Reproduction
244,Unicorn Traits and Reproduction,pre,46.82067039638979,2,244 Unicorn Traits and Reproduction
245,Unicorn Traits and Reproduction,pre,43.67620838185182,2,245 Unicorn Traits and Reproduction
246,Unicorn Traits and Reproduction,pre,39.70472464099749,1,246 Unicorn Traits and Reproduction
247,Unicorn Traits and Reproduction,pre,26.942695075252836,1,247 Unicorn Traits and Reproduction
248,Unicorn Traits and Reproduction,pre,39.06055688019045,1,248 Unicorn Traits and Reproduction
249,Unicorn Traits and Reproduction,pre,27.08605563185923,1,249 Unicorn Traits and Reproduction
250,Unicorn Traits and Reproduction,pre,31.576948728194758,1,250 Unicorn Traits and Reproduction
251,Unicorn Traits and Reproduction,pre,25.324868006121,1,251 Unicorn Traits and Reproduction
252,Unicorn Traits and Reproduction,pre,34.6824843868341,1,252 Unicorn Traits and Reproduction
253,Unicorn Traits and Reproduction,pre,38.86341124386052,1,253 Unicorn Traits and Reproduction
254,Unicorn Traits and Reproduction,pre,29.867044174863572,1,254 Unicorn Traits and Reproduction
255,Unicorn Traits and Reproduction,pre,34.041145494485505,1,255 Unicorn Traits and Reproduction
256,Unicorn Traits and Reproduction,pre,33.36744368254314,1,256 Unicorn Traits and Reproduction
257,Unicorn Traits and Reproduction,pre,42.05846677424328,2,257 Unicorn Traits and Reproduction
258,Unicorn Traits and Reproduction,pre,33.04575854451052,1,258 Unicorn Traits and Reproduction
259,Unicorn Traits and Reproduction,pre,44.51835500669524,2,259 Unicorn Traits and Reproduction
260,Unicorn Traits and Reproduction,pre,35.99626571247145,1,260 Unicorn Traits and Reproduction
261,Unicorn Traits and Reproduction,pre,18.504424252248683,1,261 Unicorn Traits and Reproduction
262,Unicorn Traits and Reproduction,pre,33.28545354740974,1,262 Unicorn Traits and Reproduction
264,Unicorn Traits and Reproduction,pre,34.04522384207711,1,264 Unicorn Traits and Reproduction
265,Unicorn Traits and Reproduction,pre,22.23582334006254,1,265 Unicorn Traits and Reproduction
266,Unicorn Traits and Reproduction,pre,47.60038360876136,2,266 Unicorn Traits and Reproduction
268,Unicorn Traits and Reproduction,pre,43.814626382858066,2,268 Unicorn Traits and Reproduction
269,Unicorn Traits and Reproduction,pre,27.741758749288007,1,269 Unicorn Traits and Reproduction
270,Unicorn Traits and Reproduction,pre,36.47484207443518,1,270 Unicorn Traits and Reproduction
271,Unicorn Traits and Reproduction,pre,37.5091848301054,1,271 Unicorn Traits and Reproduction
272,Unicorn Traits and Reproduction,pre,23.04612352313391,1,272 Unicorn Traits and Reproduction
273,Unicorn Traits and Reproduction,pre,46.53625979187661,2,273 Unicorn Traits and Reproduction
274,Unicorn Traits and Reproduction,pre,24.62894747880026,1,274 Unicorn Traits and Reproduction
275,Unicorn Traits and Reproduction,pre,42.95107290228366,2,275 Unicorn Traits and Reproduction
276,Unicorn Traits and Reproduction,pre,49.4332005277013,2,276 Unicorn Traits and Reproduction
277,Unicorn Traits and Reproduction,pre,34.110251586428774,1,277 Unicorn Traits and Reproduction
278,Unicorn Traits and Reproduction,pre,30.409359042665496,1,278 Unicorn Traits and Reproduction
279,Unicorn Traits and Reproduction,pre,18.541255238897936,1,279 Unicorn Traits and Reproduction
280,Unicorn Traits and Reproduction,pre,29.11018495891242,1,280 Unicorn Traits and Reproduction
281,Unicorn Traits and Reproduction,pre,37.05164878039687,1,281 Unicorn Traits and Reproduction
282,Unicorn Traits and Reproduction,pre,28.453363386234997,1,282 Unicorn Traits and Reproduction
283,Unicorn Traits and Reproduction,pre,42.4450716986182,2,283 Unicorn Traits and Reproduction
284,Unicorn Traits and Reproduction,pre,31.996842309391354,1,284 Unicorn Traits and Reproduction
285,Unicorn Traits and Reproduction,pre,35.26849198645837,1,285 Unicorn Traits and Reproduction
286,Unicorn Traits and Reproduction,pre,37.14699573677191,1,286 Unicorn Traits and Reproduction
287,Unicorn Traits and Reproduction,pre,26.722269933401574,1,287 Unicorn Traits and Reproduction
288,Unicorn Traits and Reproduction,pre,33.70578335154601,1,288 Unicorn Traits and Reproduction
289,Unicorn Traits and Reproduction,pre,38.80486063306018,1,289 Unicorn Traits and Reproduction
290,Unicorn Traits and Reproduction,pre,29.134547019808835,1,290 Unicorn Traits and Reproduction
291,Unicorn Traits and Reproduction,pre,34.92209990439082,1,291 Unicorn Traits and Reproduction
292,Unicorn Traits and Reproduction,pre,35.157518438551456,1,292 Unicorn Traits and Reproduction
293,Unicorn Traits and Reproduction,pre,42.57501912343762,2,293 Unicorn Traits and Reproduction
294,Unicorn Traits and Reproduction,pre,13.604643901975088,1,294 Unicorn Traits and Reproduction
295,Unicorn Traits and Reproduction,pre,45.14735476267262,2,295 Unicorn Traits and Reproduction
296,Unicorn Traits and Reproduction,pre,26.97572158912938,1,296 Unicorn Traits and Reproduction
297,Unicorn Traits and Reproduction,pre,27.28846975500089,1,297 Unicorn Traits and Reproduction
299,Unicorn Traits and Reproduction,pre,40.121498297651414,2,299 Unicorn Traits and Reproduction
300,Unicorn Traits and Reproduction,pre,39.33679619922627,1,300 Unicorn Traits and Reproduction
301,Unicorn Traits and Reproduction,pre,27.07856693180699,1,301 Unicorn Traits and Reproduction
302,Unicorn Traits and Reproduction,pre,23.75753948797555,1,302 Unicorn Traits and Reproduction
303,Unicorn Traits and Reproduction,pre,41.60244148642436,2,303 Unicorn Traits and Reproduction
304,Unicorn Traits and Reproduction,pre,23.954290442748675,1,304 Unicorn Traits and Reproduction
305,Unicorn Traits and Reproduction,pre,40.36927824667235,2,305 Unicorn Traits and Reproduction
306,Unicorn Traits and Reproduction,pre,39.937809280537465,1,306 Unicorn Traits and Reproduction
307,Unicorn Traits and Reproduction,pre,34.413623880434336,1,307 Unicorn Traits and Reproduction
308,Unicorn Traits and Reproduction,pre,38.648754937363464,1,308 Unicorn Traits and Reproduction
309,Unicorn Traits and Reproduction,pre,25.855737064648636,1,309 Unicorn Traits and Reproduction
310,Unicorn Traits and Reproduction,pre,35.01937371353217,1,310 Unicorn Traits and Reproduction
311,Unicorn Traits and Reproduction,pre,46.24370957709697,2,311 Unicorn Traits and Reproduction
312,Unicorn Traits and Reproduction,pre,21.369652022824898,1,312 Unicorn Traits and Reproduction
313,Unicorn Traits and Reproduction,pre,33.78935892922658,1,313 Unicorn Traits and Reproduction
314,Unicorn Traits and Reproduction,pre,37.57063529143235,1,314 Unicorn Traits and Reproduction
